ad_archive_id,collation_id,is_active,start_date_formatted,end_date_formatted,page_name,snapshot.page_name,snapshot.title,snapshot.body.text,snapshot.cta_text,snapshot.display_format,snapshot.link_url,domain,url_path,utm_source,utm_medium,utm_campaign,category_code,utm_term,utm_content,funding_type_label,supplier_label,brand_label,campaign_period,creative_format,card_title,card_body,card_cta_text,card_image_url,card_video_hd_url,publisher_platform,country,retailer,platform,channel,snapshot_week,snapshot_month,publisher_platform_clean,facebook,instagram,audience_network,messenger,threads,whatsapp,landing_page_type,is_official_cw,mentions_cw_brand,tga_risk_flag,snapshot_date,start_date_formatted_dt,snapshot_run_datetime,campaign_age_days
1483144113024878,,True,2026-06-18 07:00:00,2026-06-20 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},"Stop paying too much on contact lenses at Chemist Warehouse Optometry.

👉 Wide range of lenses at everyday low prices.
👉 Free Shipping on orders over $99
👉 Tracked Delivery on all orders
👉 Friendly Customer Service

Shop Online Now at Chemist Warehouse Optometry & see the savings!",Shop now,DPA,https://chemistwarehouseoptometry.com.au/,chemistwarehouseoptometry.com.au,/,,,,,,,Not Specified,,,,,Biofinity Multifocal N - Near,"Stop paying too much on contact lenses at Chemist Warehouse Optometry.

👉 Wide range of lenses at everyday low prices.
👉 Free Shipping on orders over $99
👉 Tracked Delivery on all orders
👉 Friendly Customer Service

Shop Online Now at Chemist Warehouse Optometry & see the savings!",Shop Now,https://scontent.fgig29-1.fna.fbcdn.net/v/t39.35426-6/725860079_2513027342478175_6052196806138641140_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=qAlBhlMdumsQ7kNvwFuKiO2&_nc_oc=AdrODz1eyh9lhUDpP3flYNnPEHg3_pnZqb3Aby5XRTJ-k1Gpsi4-r3Vz_vcr2WfDX54&_nc_zt=14&_nc_ht=scontent.fgig29-1.fna&_nc_gid=XLjKSjxhFYXVoxKgnn9g3w&_nc_ss=7f289&oh=00_Af-nkla4S-Yg-3mDNze-hIyg7YFExID3w8FcThWkM6aytg&oe=6A3E1B62,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'THREADS']",,,,,2026-W25,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, THREADS",True,True,True,False,True,False,Homepage,True,True,False,2026-06-22,2026-06-18 07:00:00,2026-06-22 17:19:02.938557,4
1019740223931017,1256036363010911,True,2026-06-18 07:00:00,2026-06-20 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://chemistwarehouseoptometry.com.au/,chemistwarehouseoptometry.com.au,/,,,,,,,Not Specified,,,,,SITEWIDE SALE ON NOW,"SITEWIDE SALE ON NOW! 💰

ALL contact lenses discounted for a limited time only!✨

🚚 FREE shipping on orders $99+^
⏰ Hurry - offer ends 11:59PM 24/06/26 (AEST)
👉 Shop online now at Chemist Warehouse Optometry & see the savings!",Shop Now,https://scontent.fgig29-1.fna.fbcdn.net/v/t39.35426-6/722605715_1484283786778665_6168664569559097343_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=TpeuPtpq2KIQ7kNvwEXRHHM&_nc_oc=AdoFib6hcCkZh8IRFuNAqUFv4Ii4zU8L4YXWs2OeiNfqfcAfdnNotVIIs8e6DdtYsrk&_nc_zt=14&_nc_ht=scontent.fgig29-1.fna&_nc_gid=XLjKSjxhFYXVoxKgnn9g3w&_nc_ss=7f289&oh=00_Af8VMjV1sKeraTmiiM5vGkIgkOojQIAb9uWcEAL-b9baZA&oe=6A3E4C2F,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'THREADS']",,,,,2026-W25,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, THREADS",True,True,True,False,True,False,Homepage,True,False,False,2026-06-22,2026-06-18 07:00:00,2026-06-22 17:19:02.938557,4
4331261430450526,,True,2026-06-18 07:00:00,2026-06-21 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},"Stop paying too much on contact lenses at Chemist Warehouse Optometry.

👉 Wide range of lenses at everyday low prices.
👉 Free Shipping on orders over $99
👉 Tracked Delivery on all orders
👉 Friendly Customer Service

Shop Online Now at Chemist Warehouse Optometry & see the savings!",Shop now,DPA,https://chemistwarehouseoptometry.com.au/,chemistwarehouseoptometry.com.au,/,,,,,,,Not Specified,,,,,Dailies Total1 Multifocal 90 pack,"Stop paying too much on contact lenses at Chemist Warehouse Optometry.

👉 Wide range of lenses at everyday low prices.
👉 Free Shipping on orders over $99
👉 Tracked Delivery on all orders
👉 Friendly Customer Service

Shop Online Now at Chemist Warehouse Optometry & see the savings!",Shop Now,https://scontent.fgig29-1.fna.fbcdn.net/v/t39.35426-6/725605610_1295714872630984_3158069280087360920_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=6OA7xJTBJiYQ7kNvwHQ7aXX&_nc_oc=AdrUfPpDY47rxDIPhln9JGXi9-YkujosHsnWdhv8ChPfY_Fiyt89EfZs5UAZl-xwwFE&_nc_zt=14&_nc_ht=scontent.fgig29-1.fna&_nc_gid=XLjKSjxhFYXVoxKgnn9g3w&_nc_ss=7f289&oh=00_Af8_tvxidNTj74xFXAqcguGqHBZ-yxgWrug0s6ntguWOGA&oe=6A3E2569,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",,,,,2026-W25,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Homepage,True,True,False,2026-06-22,2026-06-18 07:00:00,2026-06-22 17:19:02.938557,4
1061305349556987,,True,2026-06-18 07:00:00,2026-06-21 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},"Stop paying too much on contact lenses at Chemist Warehouse Optometry.

👉 Wide range of lenses at everyday low prices.
👉 Free Shipping on orders over $99
👉 Tracked Delivery on all orders
👉 Friendly Customer Service

Shop Online Now at Chemist Warehouse Optometry & see the savings!",Shop now,DPA,https://chemistwarehouseoptometry.com.au/,chemistwarehouseoptometry.com.au,/,,,,,,,Not Specified,,,,,Biofinity Multifocal N - Near,"Stop paying too much on contact lenses at Chemist Warehouse Optometry.

👉 Wide range of lenses at everyday low prices.
👉 Free Shipping on orders over $99
👉 Tracked Delivery on all orders
👉 Friendly Customer Service

Shop Online Now at Chemist Warehouse Optometry & see the savings!",Shop Now,https://scontent.fgig29-1.fna.fbcdn.net/v/t39.35426-6/722859721_2071441510452196_8266922929688747231_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=XuA1LTI1tEcQ7kNvwHToqef&_nc_oc=Adoi8yBZ-fX_YgheF_LtKvCit-w-8ly5U5TcmrSBeGpzUUlWtBLrIDeIALG-Vg26SNs&_nc_zt=14&_nc_ht=scontent.fgig29-1.fna&_nc_gid=XLjKSjxhFYXVoxKgnn9g3w&_nc_ss=7f289&oh=00_Af--khpgCaB3BmgOuUDWkAklNcMucgDvI4QeSJImnwIKPA&oe=6A3E1893,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'THREADS']",,,,,2026-W25,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, THREADS",True,True,True,False,True,False,Homepage,True,True,False,2026-06-22,2026-06-18 07:00:00,2026-06-22 17:19:02.938557,4
1001696449452443,1002858255471867,True,2026-06-18 07:00:00,2026-06-21 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://chemistwarehouseoptometry.com.au/,chemistwarehouseoptometry.com.au,/,,,,,,,Not Specified,,,,,SITEWIDE SALE ON NOW,"SITEWIDE SALE ON NOW! 💰

ALL contact lenses discounted for a limited time only!✨

🚚 FREE shipping on orders $99+^
⏰ Hurry - offer ends 11:59PM 24/06/26 (AEST)
👉 Shop online now at Chemist Warehouse Optometry & see the savings!",Shop Now,,https://video.fgig29-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQP1e26sFayWIh_qNfNeMc-wd8Cr1s-AX6T-wK-_95ftqRs8rcSF56ZPiQC7XR4YGeaPRKz8Tc5pYbNbwt-gDBrhDB__P_9SwLIhSz7UgSVcSw.mp4?_nc_cat=108&_nc_oc=AdpOzCeA9KQxQg1jU8MPVBppku6J3vfN9OEn0SiLhlajf8HWfW3xbQTy-PqW-ocpynU&_nc_sid=b66105&_nc_ht=video.fgig29-1.fna.fbcdn.net&_nc_ohc=uFC_1E_LAwQQ7kNvwFHcyx0&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjE3MzgxMzY1NDc1NjEyMjIsImFzc2V0X2FnZV9kYXlzIjoyNiwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjEwLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=36bd071cc1f88da3&_nc_vs=HBkcFQIYRWZiX2VwaGVtZXJhbC84MzQwMzk1REM0ODVGQjU3QzA4MTQyRTlDN0EzREM5Rl9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaMvOi37rSWBhUCKAJDMywXQCQAAAAAAAAYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=XLjKSjxhFYXVoxKgnn9g3w&_nc_ss=7f289&_nc_zt=28&oh=00_Af9p_Oun4w7aiuJgYiz93IEbQuY-UiJ0SfIa4NiusY5E9Q&oe=6A3E48B4,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'THREADS']",,,,,2026-W25,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, THREADS",True,True,True,False,True,False,Homepage,True,False,False,2026-06-22,2026-06-18 07:00:00,2026-06-22 17:19:02.938557,4
1718954086134585,993536053543298,True,2026-06-17 07:00:00,2026-06-21 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/3118/bisolvon?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_oa_facebook_social_sanoficonsumerhealthcare_bisolvon_258_2026_100512-oa_video-image&utm_term=traffic&utm_content=video-image_all,www.chemistwarehouse.com.au,/shop-online/3118/bisolvon,facebook,social,au_cw_oa_facebook_social_sanoficonsumerhealthcare_bisolvon_258_2026_100512-oa_video-image,258,traffic,video-image_all,O&O,Sanoficonsumerhealthcare,Bisolvon,2026,video-image,Shop Bisolvon,Shop Bisolvon at Chemist Warehouse. Tailored options for both dry & chesty coughs.,Shop Now,,https://video.fgig29-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQPuzcVnuR3Fw9WCsy6zaaDPjeM5uKg_Q0vJAkhKRCiMi7hG-fZfj5yo4ehOpsqaG3F6xxzhntr3FPzmLgwY6If6EQGqJ96pgDnRrK_EN6H26Q.mp4?_nc_cat=110&_nc_oc=AdrwQ759ZrXRChxT54CCUIk3bZqVT2173_KQCc8qLB7dKIXviuVEHUrwiyxJ2PzqVQk&_nc_sid=b66105&_nc_ht=video.fgig29-1.fna.fbcdn.net&_nc_ohc=QH2YsUoc_vkQ7kNvwFFberC&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjEzNDE0ODkzNDc5MTQ5MDMsImFzc2V0X2FnZV9kYXlzIjozLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MjksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=633babe274ab3a9a&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC8wNjRBMTQzOEE1NTg4N0YzRDY0NUYzQURCMDU4Q0ZBNV9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50L0NGNEE5QzA3RTBCQUNEODk4NjkzMzdFMjkyMUI3QjkzX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACausuvA-oTiBBUCKAJDMywXQD13S8an754YGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=XLjKSjxhFYXVoxKgnn9g3w&_nc_ss=7f289&_nc_zt=28&oh=00_Af-y-A9E_TOhDNTsimLL6E9k8OUvdDADduaGN7wb-31BVg&oe=6A3E2ED2,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP', 'THREADS']",au,cw,facebook,social,2026-W25,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, WHATSAPP, THREADS",True,True,True,True,True,True,Brand/Category Page,True,False,False,2026-06-22,2026-06-17 07:00:00,2026-06-22 17:19:02.938557,5
980179964778612,26901293422904592,True,2026-06-17 07:00:00,2026-06-21 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/3118/bisolvon?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_oa_facebook_social_sanoficonsumerhealthcare_bisolvon_258_2026_100512-oa_video-image&utm_term=traffic&utm_content=video-image_all,www.chemistwarehouse.com.au,/shop-online/3118/bisolvon,facebook,social,au_cw_oa_facebook_social_sanoficonsumerhealthcare_bisolvon_258_2026_100512-oa_video-image,258,traffic,video-image_all,O&O,Sanoficonsumerhealthcare,Bisolvon,2026,video-image,"For chesty coughs, try Bisolvon","Bisolvon provides effective relief against chesty coughs, helping you get back to what matters most.",Shop Now,https://scontent.fgig29-1.fna.fbcdn.net/v/t39.35426-6/726061575_1569770884719266_2311390473784710653_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=SMpVwLAjuvwQ7kNvwF9nFHc&_nc_oc=Adoa25ShTk5gqqZ7AAmhhEw0pvn-nbvlNeBh_atTGj-VqJUtb-pJ9JDc0e8f3UxlBBc&_nc_zt=14&_nc_ht=scontent.fgig29-1.fna&_nc_gid=XLjKSjxhFYXVoxKgnn9g3w&_nc_ss=7f289&oh=00_Af_tCkpTsDAqD9VkTQB4GTdOL9G_TvD9qeOXCy_r_sOo-A&oe=6A3E1A30,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP', 'THREADS']",au,cw,facebook,social,2026-W25,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, WHATSAPP, THREADS",True,True,True,True,True,True,Brand/Category Page,True,False,False,2026-06-22,2026-06-17 07:00:00,2026-06-22 17:19:02.938557,5
1517030309960349,2285070822031079,True,2026-06-18 07:00:00,2026-06-20 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/759/carusos?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_carusosnaturalhealth_carusos_81_2026_100096-bau_video-image&utm_term=traffic&utm_content=video-image_,www.chemistwarehouse.com.au,/shop-online/759/carusos,facebook,social,au_cw_coop_facebook_social_carusosnaturalhealth_carusos_81_2026_100096-bau_video-image,81,traffic,video-image_,Coop,Carusosnaturalhealth,Carusos,2026,video-image,"5 Billion CFU, 3 Strains","Looking for ways to support your vaginal health?
Caruso’s Vaginal Care Probiotic supports vaginal health and helps support healthy vaginal pH while
also relieves abdominal bloating.",Shop Now,,https://video.fgig29-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQM3v3p9aTTyjGeBFdMxbsdJYfxFtziCFqm142IK6wc5aeoAQLRWNbvvrFoAsBZFYVy0-0GeLK34bmglRRWmhddSRg_Obhs_Z-bbFcXHmV6_2Q.mp4?_nc_cat=107&_nc_oc=Adp2Vgas4M8XHicc_gRBwsdNH2q2NjfGtM4K7KX53QMAEIC7PPcZitR-03Qkavb3eMo&_nc_sid=b66105&_nc_ht=video.fgig29-1.fna.fbcdn.net&_nc_ohc=UTXOOwj-LZEQ7kNvwEGbJM9&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjE5OTg1NDc4MTA3NjI2NTcsImFzc2V0X2FnZV9kYXlzIjozLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=df7b05cbfb10cffe&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9GQTREQzg0QzlCMzBCQ0YwODdENTY4MkU2NUIyQzdBOV9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50LzQxNDM1MUE1QzQ1MDU1MkE3OTY3ODBBN0JFQ0E0Mjk4X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbC_p3F5eqMBxUCKAJDMywXQC4AAAAAAAAYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=XLjKSjxhFYXVoxKgnn9g3w&_nc_ss=7f289&_nc_zt=28&oh=00_Af-If8BCXM6cCIzgCZtmuLVgSokgg2nLfL2SNLP-Zp1fJg&oe=6A3E2FF9,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP', 'THREADS']",au,cw,facebook,social,2026-W25,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, WHATSAPP, THREADS",True,True,True,True,True,True,Brand/Category Page,True,False,False,2026-06-22,2026-06-18 07:00:00,2026-06-22 17:19:02.938557,4
3136727193201595,941556325600795,True,2026-06-17 07:00:00,2026-06-21 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/759/carusos?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_carusosnaturalhealth_carusos_81_2026_100096-bau_video-image&utm_term=traffic&utm_content=video-image_,www.chemistwarehouse.com.au,/shop-online/759/carusos,facebook,social,au_cw_coop_facebook_social_carusosnaturalhealth_carusos_81_2026_100096-bau_video-image,81,traffic,video-image_,Coop,Carusosnaturalhealth,Carusos,2026,video-image,"5 Billion CFU, 3 Strains","Looking for ways to support your vaginal health?
Caruso’s Vaginal Care Probiotic supports vaginal health and helps support healthy vaginal pH while
also relieves abdominal bloating.",Shop Now,https://scontent.fgig29-1.fna.fbcdn.net/v/t39.35426-6/725205166_1215872973913220_1463689687548799977_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=tGJwoO8yebUQ7kNvwEst_xu&_nc_oc=Ado0ycesgdLluej1fVu5zu9H8xB7lt-5soG7pg5Oc8O--Mcwsn8gKMSLZzPPBfaQZnk&_nc_zt=14&_nc_ht=scontent.fgig29-1.fna&_nc_gid=XLjKSjxhFYXVoxKgnn9g3w&_nc_ss=7f289&oh=00_Af_Sr0K-lylG35scmcbKD29XAvItSZdz8Bfo-yetn79eLQ&oe=6A3E2056,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP', 'THREADS']",au,cw,facebook,social,2026-W25,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, WHATSAPP, THREADS",True,True,True,True,True,True,Brand/Category Page,True,False,False,2026-06-22,2026-06-17 07:00:00,2026-06-22 17:19:02.938557,5
3530676273764596,26901293422904592,True,2026-06-17 07:00:00,2026-06-21 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/3118/bisolvon?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_oa_facebook_social_sanoficonsumerhealthcare_bisolvon_258_2026_100512-oa_image&utm_term=conversion&utm_content=image_all,www.chemistwarehouse.com.au,/shop-online/3118/bisolvon,facebook,social,au_cw_oa_facebook_social_sanoficonsumerhealthcare_bisolvon_258_2026_100512-oa_image,258,conversion,image_all,O&O,Sanoficonsumerhealthcare,Bisolvon,2026,image,"For chesty coughs, try Bisolvon","Bisolvon provides effective relief against chesty coughs, helping you get back to what matters most.",Shop Now,https://scontent.fgig29-1.fna.fbcdn.net/v/t39.35426-6/725166076_1020138797038551_8794699746286480619_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Uo0m3xQE3pkQ7kNvwHZaLWT&_nc_oc=AdoJ5O7vkE6hBLSL_sk2n2mQzjhOeHavUxVLC-7ARXetKMnz7SA8mjkBmBt5udHYmBg&_nc_zt=14&_nc_ht=scontent.fgig29-1.fna&_nc_gid=XLjKSjxhFYXVoxKgnn9g3w&_nc_ss=7f289&oh=00_Af-V3FI2DQzL73MxuedxwT15nx3wdToPQ7YGMcTwV-sbTg&oe=6A3E3C4E,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",au,cw,facebook,social,2026-W25,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-22,2026-06-17 07:00:00,2026-06-22 17:19:02.938557,5
