dq_check,failed_records,total_records,failure_rate_pct,pipeline_run_datetime
duplicate_ad_archive_id,0,30,0.0,2026-06-15 17:13:39.779805
missing_page_name,0,30,0.0,2026-06-15 17:13:39.779805
invalid_start_date,0,30,0.0,2026-06-15 17:13:39.779805
future_start_date,0,30,0.0,2026-06-15 17:13:39.779805
blank_creative_text,0,30,0.0,2026-06-15 17:13:39.779805
